"run_id","metric_id","stat","instance_type","instance_id","value"
"202606251843","throughput","effective","run","","1"
"202606251843","error_rate","avg","run","","0"
"202606251843","latency","avg","run","","37.836666666666666"
"202606251927","throughput","effective","run","","299.9998333352778"
"202606251927","error_rate","avg","run","","5.6103734324935435e-12"
"202606251927","latency","avg","run","","28.46971111111111"
"202606252009","throughput","effective","run","","599.8846670511099"
"202606252009","error_rate","avg","run","","2.805182780090839e-12"
"202606252009","latency","avg","run","","30.090378433644226"
"202606252041","throughput","effective","run","","898.8028254719262"
"202606252041","error_rate","avg","run","","2.8051797103788845e-11"
"202606252041","latency","avg","run","","46.40827796512081"
"202606252118","throughput","effective","run","","1195.1216666666667"
"202606252118","error_rate","avg","run","","8.696046437128314e-11"
"202606252118","latency","avg","run","","43.82154880746177"
"202606252201","throughput","effective","run","","1476.1642858452374"
"202606252201","error_rate","avg","run","","8.976550876352318e-11"
"202606252201","latency","avg","run","","51.34806717166984"
"202606252242","throughput","effective","run","","1743.7901742709519"
"202606252242","error_rate","avg","run","","7.086740992375103e-11"
"202606252242","latency","avg","run","","57.55815780143091"
"202606252329","throughput","effective","run","","2030.8019180279318"
"202606252329","error_rate","avg","run","","5.890844187938908e-11"
"202606252329","latency","avg","run","","55.3282206528151"
"202606260007","throughput","effective","run","","2293.9047053446016"
"202606260007","error_rate","avg","run","","1.0940125117508279e-10"
"202606260007","latency","avg","run","","56.66534112272215"
"202606260104","throughput","effective","run","","2552.0273835025205"
"202606260104","error_rate","avg","run","","4.327953349312876e-10"
"202606260104","latency","avg","run","","54.208368726133216"
"202606261826","throughput","effective","run","","2781.553260479965"
"202606261826","error_rate","avg","run","","2.075741831385344e-10"
"202606261826","latency","avg","run","","56.96592421836743"
"202606070759","throughput","effective","run","","0.9999983333361111"
"202606070759","error_rate","avg","run","","0"
"202606070759","latency","avg","run","","26.435"
"202606070824","throughput","effective","run","","300.0001666658333"
"202606070824","error_rate","avg","run","","0"
"202606070824","latency","avg","run","","22.009438836450908"
"202606070849","throughput","effective","run","","600.0010000016666"
"202606070849","error_rate","avg","run","","1.4038455907093258e-11"
"202606070849","latency","avg","run","","26.655872998236088"
"202606070914","throughput","effective","run","","899.9990000066666"
"202606070914","error_rate","avg","run","","2.807688721046894e-11"
"202606070914","latency","avg","run","","35.243547601542986"
"202606070939","throughput","effective","run","","1199.9003373198404"
"202606070939","error_rate","avg","run","","4.211529622725276e-11"
"202606070939","latency","avg","run","","42.68196023634843"
"202606071005","throughput","effective","run","","1496.9372013958573"
"202606071005","error_rate","avg","run","","6.176904723928777e-11"
"202606071005","latency","avg","run","","53.84979194436138"
"202606071030","throughput","effective","run","","1794.7743242721242"
"202606071030","error_rate","avg","run","","1.3890635318502355e-10"
